"Season"|"Team_Name"|"Playoff"|"Team_Code"
"2014"|"Atlético de Kolkata"|1|"ATK"
"2014"|"Chennaiyin FC"|1|"CHN"
"2014"|"Delhi Dynamos FC"|0|"DEL"
"2014"|"FC Goa"|1|"GOA"
"2014"|"FC Pune City"|0|"PUN"
"2014"|"Kerala Blasters"|1|"KER"
"2014"|"Mumbai City FC"|0|"MUM"
"2014"|"NorthEast United FC"|0|"NEU"
"2015"|"Atlético de Kolkata"|1|"ATK"
"2015"|"Chennaiyin FC"|1|"CHN"
"2015"|"Delhi Dynamos FC"|1|"DEL"
"2015"|"FC Goa"|1|"GOA"
"2015"|"FC Pune City"|0|"PUN"
"2015"|"Kerala Blasters"|0|"KER"
"2015"|"Mumbai City FC"|0|"MUM"
"2015"|"NorthEast United FC"|0|"NEU"
"2016"|"Atlético de Kolkata"|1|"ATK"
"2016"|"Chennaiyin FC"|0|"CHN"
"2016"|"Delhi Dynamos FC"|1|"DEL"
"2016"|"FC Goa"|0|"GOA"
"2016"|"FC Pune City"|0|"PUN"
"2016"|"Kerala Blasters"|1|"KER"
"2016"|"Mumbai City FC"|1|"MUM"
"2016"|"NorthEast United FC"|0|"NEU"
"2017/2018"|"ATK"|0|"ATK"
"2017/2018"|"Bengaluru FC"|1|"BGL"
"2017/2018"|"Chennaiyin FC"|1|"CHN"
"2017/2018"|"Delhi Dynamos FC"|0|"DEL"
"2017/2018"|"FC Goa"|1|"GOA"
"2017/2018"|"FC Pune City"|1|"PUN"
"2017/2018"|"Jamshedpur FC"|0|"JSD"
"2017/2018"|"Kerala Blasters"|0|"KER"
"2017/2018"|"Mumbai City FC"|0|"MUM"
"2017/2018"|"NorthEast United FC"|0|"NEU"
