"Team"|"Period"|"Manager"|"Country"|"Born"
"Bengaluru FC"|"01/07/2016 - 30/06/2018"|"Albert Roca"|""|"20/10/1962"
"Bengaluru FC"|"01/07/2013 - 30/06/2016"|"Ashley Westwood"|""|"31/08/1976"
"Chennaiyin FC"|"03/07/2017 - 30/06/2018"|"John Gregory"|""|"11/05/1954"
"Chennaiyin FC"|"26/09/2014 - 31/12/2016"|"Marco Materazzi"|""|"19/08/1973"
"FC Goa"|"01/07/2017 - 30/06/2018"|"Sergio Lobera"|""|"16/01/1977"
"FC Goa"|"01/09/2014 - 31/12/2016"|"Zico"|""|"03/03/1953"
"FC Pune City"|"25/09/2017 - 30/06/2018"|"Ranko Popovic"|""|"26/06/1967"
"FC Pune City"|"01/07/2016 - 31/12/2016"|"Antonio López"|""|"29/05/1957"
"FC Pune City"|"01/07/2015 - 31/12/2015"|"David Platt"|""|"10/06/1966"
"FC Pune City"|"26/09/2014 - 31/12/2014"|"Franco Colomba"|""|"06/02/1955"
"Jamshedpur FC"|"14/07/2017 - 30/06/2018"|"Steve Coppell"|""|"09/07/1955"
"Kerala Blasters"|"03/01/2018 - 30/06/2018"|"David James"|""|"01/08/1970"
"Kerala Blasters"|"14/07/2017 - 02/01/2018"|"René Meulensteen"|""|"25/03/1964"
"Kerala Blasters"|"01/07/2016 - 31/12/2016"|"Steve Coppell"|""|"09/07/1955"
"Kerala Blasters"|"31/10/2015 - 30/06/2016"|"Terry Phelan"|""|"16/03/1967"
"Kerala Blasters"|"01/07/2015 - 28/10/2015"|"Peter Taylor"|""|"03/01/1953"
"Kerala Blasters"|"20/08/2014 - 31/12/2014"|"David James"|""|"01/08/1970"
"Mumbai City FC"|"19/04/2016 - 30/06/2018"|"Alexandre Guimarães"|""|"07/11/1959"
"Mumbai City FC"|"01/07/2015 - 31/12/2015"|"Nicolas Anelka"|""|"14/03/1979"
"Mumbai City FC"|"26/09/2014 - 31/12/2014"|"Peter Reid"|""|"20/06/1956"
"Delhi Dynamos FC"|"01/07/2017 - 30/06/2018"|"Portugal"|""|"28/11/1955"
"Delhi Dynamos FC"|"05/07/2016 - 31/12/2016"|"Gianluca Zambrotta"|""|"19/02/1977"
"Delhi Dynamos FC"|"05/07/2015 - 31/12/2015"|"Roberto Carlos"|""|"10/04/1973"
"Delhi Dynamos FC"|"01/07/2014 - 31/12/2014"|"Harm van Veldhoven"|""|"28/09/1962"
"ATK"|"25/01/2018 - 30/06/2018"|"Ashley Westwood"|""|"31/08/1976"
"ATK"|"08/07/2017 - 24/01/2018"|"Teddy Sheringham"|""|"02/04/1966"
"ATK"|"01/07/2016 - 31/12/2016"|"Molina"|""|"08/08/1970"
"ATK"|"26/09/2014 - 31/12/2015"|"Antonio López"|""|"29/05/1957"
"NorthEast United FC"|"03/01/2018 - 30/06/2018"|"Avram Grant"|""|"06/05/1955"
"NorthEast United FC"|"10/07/2017 - 02/01/2018"|"João de Deus"|""|"06/11/1976"
"NorthEast United FC"|"01/07/2016 - 31/12/2016"|"Nelo Vingada"|""|"30/03/1953"
"NorthEast United FC"|"01/07/2015 - 31/12/2015"|"César Farías"|""|"07/03/1973"
"NorthEast United FC"|"26/09/2014 - 31/12/2014"|"Ricki Herbert"|""|"10/04/1961"
