"Country"|"Founded"|"Full Name"|"Homepage"|"Nickname"|"Stadium"|"Team"|"Stadium_Capacity"|"Team_Code"
"India"|"07/05/2014"|"ATK"|"http://atk.world/"|"ATK"|"Salt Lake Stadium"|"ATK"|66687|"ATK"
"India"|"20/07/2013"|"Bengaluru Football Club"|"http://www.bengalurufc.com/"|"The Blues"|"Sree Kanteerava Stadium"|"Bengaluru FC"|24000|"BGL"
"India"|"20/08/2014"|"Chennaiyin Football Club"|"http://chennaiyinfc.com/"|"Marina Machans"|"Jawaharlal Nehru Stadium / Marina Arena"|"Chennaiyin FC"|26976|"CHN"
"India"|"21/04/2014"|"Delhi Dynamos Football Club"|"http://www.delhidynamos.com/"|"Lions"|"Jawaharlal Nehru Stadium"|"Delhi Dynamos FC"|34230|"DEL"
"India"|"26/08/2014"|"Football Club Goa"|"http://www.fcgoa.in/"|"Reddes"|"Jawaharlal Nehru Stadium / Fatorda"|"FC Goa"|19500|"GOA"
"India"|"13/04/2014"|"Football Club of Pune City"|"http://fcpunecity.com/"|"Stallions"|"Balewadi Stadium"|"FC Pune City"|11900|"PUN"
"India"|"23/07/2017"|"Tata Jamshedpur Football Club"|"https://www.fcjamshedpur.com/"|"Men of Steel"|"JRD Tata Sports Complex"|"Jamshedpur FC"|60000|"JSD"
"India"|"24/05/2014"|"Kerala Blasters Football Club"|"http://kbfc.co.in/"|"Manjapada"|"Jawaharlal Nehru International Stadium / Kaloor Stadium"|"Kerala Blasters"|37245|"KER"
"India"|"30/08/2014"|"Mumbai City Football Club"|"http://www.mumbaicityfc.com/"|"Blue Army"|"Mumbai Football Arena"|"Mumbai City FC"|22000|"MUM"
"India"|"13/04/2014"|"NorthEast United Football Club"|"https://www.neufc.com/"|"The Highlanders"|"Indira Gandhi Athletic Stadium"|"NorthEast United FC"|23850|"NEU"
